occupation,occupationLabel,image,position_de_jeu_ou_sp_cialit_,position_de_jeu_ou_sp_cialit_Label,pays_de_citoyennet_,pays_de_citoyennet_Label
http://www.wikidata.org/entity/Q10667,Nyron Nosworthy,http://commons.wikimedia.org/wiki/Special:FilePath/Nyron%20Nosworthy%20Watford.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10667,Nyron Nosworthy,http://commons.wikimedia.org/wiki/Special:FilePath/Nyron%20Nosworthy%20Watford.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q766,Jamaïque
http://www.wikidata.org/entity/Q10668,Fitz Hall,http://commons.wikimedia.org/wiki/Special:FilePath/Fitzhall17.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10709,Fernando Forestieri,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20Forestieri.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q414,Argentine
http://www.wikidata.org/entity/Q10711,Manuel Almunia,http://commons.wikimedia.org/wiki/Special:FilePath/AlmuniaWHU.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q29,Espagne
http://www.wikidata.org/entity/Q10715,Lee Hodson,http://commons.wikimedia.org/wiki/Special:FilePath/Lee%20Hodson.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10718,John Eustace,http://commons.wikimedia.org/wiki/Special:FilePath/EustaceJohn.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10720,Neuton,,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q155,Brésil
http://www.wikidata.org/entity/Q10723,Mark Yeates,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Yeates%20SUFC%20Jon%20Candy%20Owned%20Image.png,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q27,Irlande
http://www.wikidata.org/entity/Q10723,Mark Yeates,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Yeates%20SUFC%20Jon%20Candy%20Owned%20Image.png,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q27,Irlande
http://www.wikidata.org/entity/Q10724,Jonathan Hogg,http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan%20Hogg.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10725,Troy Deeney,http://commons.wikimedia.org/wiki/Special:FilePath/Troy%20Deeney%20141028.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10726,Chris Iwelumo,http://commons.wikimedia.org/wiki/Special:FilePath/Iwelumo.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10727,Steve Beleck,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Leo%20Beleck%202011.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q1009,Cameroun
http://www.wikidata.org/entity/Q10729,Stephen McGinn,http://commons.wikimedia.org/wiki/Special:FilePath/Stephen%20McGinn%20-%20Schottland%20U-21%20%281%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
